id,question,expected_answer,category,campaign_id,gpt4_answer,gpt4_time,gpt4_status,gpt4_knowledge_used,gpt4_evaluation,gpt4_reason,gpt4_error
20,济南市数码补贴申请的实名认证有效期是多少天？最多可以尝试几次？,有效期2天，最多可尝试3次,市级数码,JN_DIGITAL_2025,济南市数码补贴申请的实名认证有效期为 **2天**，最多可以尝试 **3次**。,1.876605749130249,success,True,部分正确,匹配度50%,
21,济南上半年买新能源车有补贴吗？,有。济南市2025年上半年（1月25日至3月31日）购买新能源车可享受补贴,市级汽车上半年,JN_CAR_UPPER_2025,"有补贴。  
2025年1月25日至3月31日期间，在济南购买非营运新能源乘用车，按发票不含税价享受一次性补贴：  
- 10–30万元：补贴4000元  
- 30万元以上：补贴5000元  

申报平台：微信扫码或齐鲁银行权益平台，申请截止2025年4月15日。",3.5518534183502197,success,True,部分正确,匹配度62%,
22,济南市2025年上半年汽车补贴政策，购买一辆发票不含税价15万元的新能源汽车，能获得多少补贴？,4000元（发票不含税价在10-30万元区间）,市级汽车上半年,JN_CAR_UPPER_2025,"**补贴金额：4000元**  
- **政策名称**：市级2025年上半年汽车消费补贴活动（JN_CAR_UPPER_2025）  
- **适用条件**：新能源乘用车，发票不含税价15万元（10万-30万档）  
- **时间范围**：购车需在2025年1月25日至3月31日，申报截止4月15日（已结束）。",3.9396142959594727,success,True,部分正确,匹配度50%,
23,济南市2025年上半年汽车补贴政策，购买一辆发票不含税价35万元的燃油车，能获得多少补贴？,4000元（发票不含税价超过30万元）,市级汽车上半年,JN_CAR_UPPER_2025,"**补贴金额：4000元**  
- **政策**：济南市2025年上半年汽车消费补贴活动（JN_CAR_UPPER_2025）  
- **时间**：2025年1月25日至3月31日（已结束）  
- **档位**：燃油车发票不含税价≥30万元，补贴4000元/辆。",3.4386987686157227,success,True,正确,匹配度75%,
24,济南市上半年汽车补贴活动的购车时间是什么时候？,2025年1月25日至2025年3月31日,市级汽车上半年,JN_CAR_UPPER_2025,"济南市上半年汽车补贴活动（JN_CAR_UPPER_2025）的购车时间为：  
**2025年1月25日0:00 – 2025年3月31日23:59:59**  

补贴标准：  
- 新能源：10万–30万元补4000元，30万元以上补5000元  
- 燃油车：10万–30万元补3000元，30万元以上补4000元",4.0541791915893555,success,True,部分正确,匹配度50%,
25,济南市上半年汽车补贴在哪个平台申领？,微信扫码或齐鲁银行权益平台,市级汽车上半年,JN_CAR_UPPER_2025,"济南市上半年汽车补贴（JN_CAR_UPPER_2025）在 **齐鲁银行权益平台** 申领。  
- **时间**：2025-01-25 至 2025-03-31 购车，2025-02-12 至 2025-04-15 申请。  
- **补贴档位**：  
  - 新能源车：10-30万元补4000元，30万元以上补5000元；  
  - 燃油车：10-30万元补3000元，30万元以上补4000元。",4.929771184921265,success,True,错误,匹配度低(0%),
26,济南买新车的保险有补贴吗？,有。济南市新车首保消费补贴根据车辆商业保险金额分档补贴，最高3000元,市级汽车首保,JN_CAR_FIRSTMAINT_2025,"有。  
济南市2025年针对“新车首保”发放一次性补贴，已于2025-05-01至2025-06-30完成，补贴按商业保险金额分档：  
- 2000–3000元保费 → 补800元  
- 3000–4000元 → 补1000元  
- 4000–6000元 → 补1500元  
- 6000–8000元 → 补2000元  
- 8000元以上 → 补3000元  

补贴通过二维码/APP申请，资金已发放完毕。",5.086585283279419,success,True,部分正确,匹配度50%,
27,济南市新车首保补贴，保险金额7000元属于哪个档位？补贴多少？,属于6000-8000元档位，补贴2000元,市级汽车首保,JN_CAR_FIRSTMAINT_2025,"保险金额7000元对应档位：≥6000元档  
补贴金额：3000元",1.8850336074829102,success,True,错误,匹配度低(17%),
28,济南市首保补贴活动的购车时间段是什么时候？,2025年5月1日至2025年6月30日,市级汽车首保,JN_CAR_FIRSTMAINT_2025,"济南市2025年新车首保消费补贴活动的购车时间段为：  
**2025年5月1日00:00至2025年6月30日23:59**（以购车发票时间为准）。",2.395472288131714,success,True,部分正确,匹配度50%,
29,济南市2025年新车首保消费券活动，保险金额达到多少时补贴最高？最高补贴多少元？,3000元（保险金额8000元及以上）,市级汽车首保,JN_CAR_FIRSTMAINT_2025,"在济南市2025年新车首保消费券活动（JN_CAR_FIRSTMAINT_2025）中：

- **保险金额达到8000元及以上时补贴最高**  
- **最高补贴3000元**",2.538635015487671,success,True,部分正确,匹配度50%,
30,济南下半年买车还有补贴吗？分几轮？,有。济南市下半年汽车补贴共3轮：7月、8月、9月各一轮,市级汽车下半年,JN_CAR_LOWER_2025,"济南2025年下半年买车补贴已结束，共3轮，时间、金额如下：  
- **第1轮**：7月1-31日，补贴1,900-8,500元（含加油卡+保险）。  
- **第2轮**：8月1-31日，同上。  
- **第3轮**：9月1-30日，同上。  

目前（11月5日）活动状态为“completed”，无新轮次。",4.593530654907227,success,True,部分正确,匹配度50%,
31,济南市下半年汽车补贴，18万元新车补贴构成是什么？,总计4800元，包含加油储值卡3300元和保险补贴1500元,市级汽车下半年,JN_CAR_LOWER_2025,"济南市2025年下半年汽车补贴（JN_CAR_LOWER_2025）  
针对18万元新车（发票不含税价）的补贴构成：  
- **总补贴：4,800元**  
  - 加油储值卡：3,300元  
  - 商业保险补贴：1,500元  

**时间**：购车需在2025年7月1日-9月30日（分3轮，每轮1个月），申请窗口为每轮次结束后5天内。",4.527111530303955,success,True,错误,匹配度低(0%),
32,济南市下半年汽车补贴第一轮的购车时间和申请时间分别是什么时候？,购车时间：2025年7月1日至7月31日；申请时间：2025年7月10日10:00至8月5日23:59,市级汽车下半年,JN_CAR_LOWER_2025,"济南市2025年下半年汽车补贴第一轮  
- 购车时间：2025年7月1日 00:00 – 7月31日 23:59  
- 申请时间：2025年7月10日 10:00 – 8月5日 23:59",3.035766124725342,success,True,正确,匹配度83%,
33,济南市下半年汽车补贴在哪个平台申领？,工银e生活APP/二维码,市级汽车下半年,JN_CAR_LOWER_2025,"**申领平台**：工银e生活APP（或二维码）  
**补贴档位**：按发票不含税价分5档，合计补贴1,900–8,500元（含加油储值卡+商业保险补贴）  
**购车时间**：2025-07-01 至 2025-09-30（已结束）",3.4215471744537354,success,True,错误,匹配度低(33%),
34,济南市下半年汽车补贴个人和企业的申请限制分别是什么？,个人每轮限申请1辆，企业累计最多3辆，且不能参与过前面的轮次,市级汽车下半年,JN_CAR_LOWER_2025,"济南市2025年下半年汽车消费补贴（JN_CAR_LOWER_2025）申请限制如下：

**个人**：  
- 每人在本轮活动中限领 **1次** 补贴。

**企业（不含政府单位）**：  
- 每家企业累计限领 **3次** 补贴。

补贴档位按购车发票不含税价划分，金额范围 **1,900元–8,500元**（含加油卡+保险补贴），活动已结束（2025年7–9月）。",4.428117990493774,success,True,部分正确,匹配度50%,
35,济南市下半年汽车补贴的加油储值卡有效期是多久？在哪里领取？,有效期90天，在中石油或中石化领取,市级汽车下半年,JN_CAR_LOWER_2025,济南市2025年下半年汽车补贴的加油储值卡有效期为 **90天**，可在 **中石油/中石化网点领取**。,2.0524392127990723,success,True,部分正确,匹配度50%,
36,济南市下半年汽车补贴最高档位是多少？补贴构成是什么？,最高8500元（40万元以上车辆），包含加油卡5500元和保险3000元,市级汽车下半年,JN_CAR_LOWER_2025,"济南市2025年下半年汽车消费补贴（JN_CAR_LOWER_2025）最高档位为**8,500元**，对应车辆发票不含税价≥40万元。  
补贴构成：  
- **加油储值卡**：5,500元  
- **商业保险补贴**：3,000元",3.0574874877929688,success,True,错误,匹配度低(12%),
37,济南市2025年餐饮消费券活动的时间是什么时候？现在（2025年12月）还能领取吗？,需要看当前时间。活动时间是2025年7月19日至2025年11月15日,市级零售餐饮,JN_RETAIL_CATERING_2025,"济南市2025年餐饮消费券活动时间：  
- **2025年7月19日至11月15日**，分5轮发放（每轮14批次，24小时有效期）。  
- **当前状态**：活动已结束（2025年11月15日截止），**12月无法领取**。  

**餐饮满减档位**：满100减25元、满200减50元、满300减75元。",3.8071141242980957,success,True,部分正确,匹配度67%,
38,济南市零售餐饮消费券一共发放几轮？发放时间是每月一轮吗？,共5轮。从7月到11月每月发放一轮,市级零售餐饮,JN_RETAIL_CATERING_2025,"济南市零售餐饮消费券共发放 **5轮**，并非每月一轮，具体安排如下：

- **第1轮**：7月19日-7月31日  
- **第2轮**：8月1日-8月31日  
- **第3轮**：9月1日-9月30日  
- **第4轮**：10月1日-10月31日  
- **第5轮**：11月1日-11月15日（进行中）  

**补贴档位**：  
- **零售类**：满100减20、满200减40、满300减60  
- **餐饮类**：满100减25、满200减50、满300减75",5.256979942321777,success,True,部分正确,匹配度50%,
39,济南市2025年零售消费券活动，在零售类商家消费200元，能抵扣多少钱？,40元（满200减40）,市级零售餐饮,JN_RETAIL_CATERING_2025,"在济南市2025年零售餐饮消费券活动中，**零售类消费满200元可抵扣40元**。  
该活动通过抖音APP发放，当前第5轮（11月1日-11月15日）仍在进行中，每批次限领1张券。",3.24788236618042,success,True,部分正确,匹配度50%,
40,济南市餐饮消费券，在餐饮店消费300元可以抵扣多少？抵扣规则是什么？,可抵扣75元。规则：满100减25元，消费300元可使用3张,市级零售餐饮,JN_RETAIL_CATERING_2025,"**答案：**  
在济南市餐饮消费券活动中，**单笔消费满300元可立减75元**。  
- **档位规则**：餐饮类满100减25、满200减50、满300减75，按消费金额对应档位自动抵扣。  
- **活动时间**：2025年7月19日至11月15日（当前第5轮进行中，11月1日-15日）。  
- **使用方式**：通过抖音APP领取消费券，每批次限1张，需实名认证且定位济南，到店核销。",4.586384296417236,success,True,部分正确,匹配度40%,
41,济南市零售餐饮消费券在哪个平台领取和使用？,抖音APP,市级零售餐饮,JN_RETAIL_CATERING_2025,"**领取平台**：抖音APP  
**使用方式**：在抖音APP内实名认证后，按批次抢券，券面金额随消费档位立减，仅支持到店核销，不可截图/转赠。",2.656402111053467,success,True,部分正确,匹配度50%,
42,济南市餐饮消费券每批次每人最多可以领取几张？如何判断是否为同一用户？,每批次限领1张。同一账号、手机、身份证、设备、银行卡或支付方式任一相同均视为同一用户,市级零售餐饮,JN_RETAIL_CATERING_2025,"济南市餐饮消费券每批次每人最多可领取 **1张**。  
判断同一用户的规则为：同一账号、手机号、身份证、设备、银行卡或支付账户中任一信息重复即视为同一用户，系统将自动限制领取。",2.7065792083740234,success,True,正确,匹配度75%,
43,济南市零售餐饮消费券用户咨询电话是多少？服务时间是什么时候？,用户咨询电话950525，服务时间09:00-23:00,市级零售餐饮,JN_RETAIL_CATERING_2025,"济南市零售餐饮消费券用户咨询电话：950525  
服务时间：每日09:00-23:00",1.9891316890716553,success,True,正确,匹配度75%,
44,济南市2025年零售餐饮消费券活动，消费券可以和商家优惠叠加使用吗？,可以叠加商家优惠,市级零售餐饮,JN_RETAIL_CATERING_2025,"可以叠加。  
济南市2025年零售餐饮消费券活动明确“可叠加商家优惠”，消费券本身按消费金额分档立减（零售满100/200/300元分别减20/40/60元，餐饮满100/200/300元分别减25/50/75元），可与商家自行推出的折扣、满减等优惠同时使用。",3.357607364654541,success,True,错误,匹配度低(0%),
45,济南市家电以旧换新补贴分几轮实施？现在（2025年12月18日）买冰箱还能申请吗？,分两轮实施。活动时间2025年全年（1月20日至12月31日），12月18日仍可申请,市级家电,JN_APPLIANCE_2025,"济南市家电以旧换新补贴（市级）共两轮，均已结束：  
- 第1轮：2025-04-01 至 2025-06-30 购买，2025-07-05 截止申请  
- 第2轮：2025-07-01 至 2025-09-30 购买，2025-10-05 截止申请  

截至 2025-12-18，两轮申请窗口均已关闭，现在购买冰箱无法再申请市级补贴。",4.545058250427246,success,True,错误,匹配度低(33%),
46,济南市家电补贴第二轮申请时间是什么时候？,第二轮申请时间：2025年7月10日10:00至10月5日23:59,市级家电,JN_APPLIANCE_2025,"济南市家电补贴第二轮申请时间为：  
**2025年7月10日10:00至2025年10月5日23:59:59**（对应购买周期为2025年7月1日至9月30日）。",2.543870687484741,success,True,部分正确,匹配度50%,
47,济南和山东省买冰箱的补贴一样吗？,补贴比例一样，都是15%基础补贴（一级能效额外5%），单件上限2000元,家电对比,JN_APPLIANCE_2025/SD_APPLIANCE_2025,"**结论：济南市级和山东省级的冰箱补贴“金额上限一样，但适用平台和时间细节略有不同”。**

| 项目 | 济南市级 | 山东省级 |
|---|---|---|
| **补贴比例** | 15%（2级能效）<br>20%（1级能效） | 相同 |
| **单件补贴上限** | 2,000元 | 相同 |
| **适用冰箱范围** | 电冰箱（含冰吧、冰柜、冷柜） | 相同 |
| **申领平台** | 泉城购APP | 山东政务服务网 |
| **购买/申请时间** | 已结束（两轮：4-6月、7-9月） | 已结束（两轮：4-6月、7-9月） |

因此，**补贴金额和比例完全一致**，只是申领入口不同。",6.52476954460144,success,True,错误,匹配度低(17%),
48,济南市和山东省的手机购新补贴，分别在哪个平台申请？,山东省在品牌官方商城/授权电商平台申领，济南市在泉城购APP申领,数码对比,JN_DIGITAL_2025/SD_DIGITAL_2025,"济南市手机购新补贴  
- 平台：泉城购APP  
- 补贴：15%，上限500元/台，每类限1台  
- 状态：已结束（2025-09-30截止）

山东省手机购新补贴  
- 平台：品牌官方商城或授权电商平台（如京东、天猫旗舰店）  
- 补贴：15%，上限500元/台，每类限1台  
- 状态：已结束（2025-09-30截止）",4.715646743774414,success,True,错误,匹配度低(0%),
49,济南买洗衣机补贴有问题找哪个部门？,济南市商务局负责解释,市级家电,JN_APPLIANCE_2025,**济南市商务局**负责解释与处理洗衣机补贴问题。,1.620161771774292,success,True,错误,匹配度低(0%),
50,济南市下半年汽车补贴的申请主体有哪些？个人可以申请吗？政府机关和事业单位能申请吗？,申请主体包括个人和企业，但不含政府机关和事业单位,市级汽车下半年,JN_CAR_LOWER_2025,"**济南市2025年下半年汽车消费补贴（JN_CAR_LOWER_2025）**  
- **申请主体**：**个人**和**企业（不含政府/事业单位）**  
  - 个人限领1次，企业累计限领3次。  
- **补贴档位**：按购车发票不含税价分5档，补贴总额1,900-8,500元（含加油卡+保险补贴）。  
- **时间**：购车需在2025年7月1日-9月30日，申请截止至10月5日。  
- **平台**：工银e生活APP或二维码申请。  

**结论**：个人可申请，政府机关和事业单位**不能**申请。",5.6588664054870605,success,True,错误,匹配度低(0%),
